,Unnamed:_0,Unnamed:_0,Unnamed:_0.1,MSHA_ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
54,335,335,335,4609321,2013,No 34 Auger,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,Mjk Mining Inc,"3371 Mills St., North Bend, OH 45052", ,Appalachia Central,2131,2,480,7.664346632098617
55,1135,1135,1135,4607376,2013,Lost Flat Surface Mine,West Virginia (Southern),Greenbrier,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"South Fork Coal Company, Llc","1295 Ashford Hill Road, Ashford, WV 25009", ,Appalachia Central,2144,11,4099,7.670428522190693
56,279,279,279,1517288,2013,No. 4,Kentucky (East),Knox,Permanently abandoned,Underground,Independent Producer Operator,Mine only,D + R Coal Inc,"247 Hooker Branch Rd, Barbourville, KY 40906", ,Appalachia Central,2238,11,2952,7.71333788887187
57,456,456,456,1519140,2013,Auger No 1  Sn #11,Kentucky (East),Pike,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Mill Branch Processing Inc,"P.O. Box 100, Ashcamp, KY 41512", ,Appalachia Central,2245,1,163,7.716460800176355
58,827,827,827,3607741,2013,Rock Ridge No 1 Slope,Pennsylvania (Anthracite),Schuylkill,Permanently abandoned,Underground,Independent Producer Operator,Mine only,B & B Coal Company,"225 Main Street, Joliett Tremo, PA 17981", ,Appalachia Northern,2284,9,4095,7.7336835707759
59,997,997,997,4406791,2013,Mine No. 3,Virginia,Dickenson,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Panzer Coal Inc,"8605 Route 317, Deane, KY 41812", ,Appalachia Central,2288,6,3566,7.7354333524996886
60,330,330,330,1519641,2013,No. 2 Auger,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,"Black Pearl Resources, Llc","125 Locust Drive, Pikeville, KY 41501", ,Appalachia Central,2400,3,160,7.783224016336037
61,797,797,797,3609443,2013,Luke Shingara Coal,Pennsylvania (Anthracite),Northumberland,Temporarily closed,Surface,Independent Producer Operator,Mine only,Luke Shingara Coal,"297 East Ridge Rd, Sunbury, PA 17801", ,Appalachia Northern,2438,7,2860,7.798933310041217
62,598,598,598,3401062,2013,Joshua Coal Company,Oklahoma,Okmulgee,Active,Surface,Independent Producer Operator,Mine only,Joshua Coal Company,"P.O. Box 897, Dewar, OK 74431", ,Interior,2558,1,2141,7.846980982138788
63,1115,1115,1115,4608377,2013,Surface Mine No 2,West Virginia (Southern),Clay,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Fola Coal Company, L.L.C.","P.O. Box 180, Bickmore, WV 25019", ,Appalachia Central,2694,10,21555,7.898782356970309
64,684,684,684,3609631,2013,Clearfield County Strips,Pennsylvania (Bituminous),Clearfield,Temporarily closed,Surface,Independent Producer Operator,Mine only,R H Dotts Contracting Llc,"5527 Glen Hope Blvd, Glen Hope, PA 16645", ,Appalachia Northern,2732,3,1013,7.912789220690681
65,902,902,902,4609040,2013,Auger 4,Pennsylvania (Bituminous),Somerset,Active,Surface,Independent Producer Operator,Mine only,"Second Shift Mining, Inc.","160 Hickory Grove Church Road, Mt. Nebo, WV 26679", ,Appalachia Northern,2780,4,1621,7.930206206684683
66,793,793,793,3609231,2013,Zerbe 10 Mine,Pennsylvania (Anthracite),Northumberland,Active,Surface,Independent Producer Operator,Mine only,Fox Coal Company Inc.,"212 W. Cherry St., Mt. Carmel, PA 17851", ,Appalachia Northern,2795,2,500,7.9355873855892
67,39,39,39,103370,2013,Cresent Valley Mine,Alabama,Walker,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Reed Minerals, Inc","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,2860,1,621,7.958576903813898
68,1059,1059,1059,4407124,2013,True Energy Fuels Mine No. 2,Virginia,Wise,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,True Energy Fuels Llc,"7652 South Fork Road, Pound, VA 24279", ,Appalachia Central,2878,6,11190,7.964850887447313
69,715,715,715,3607506,2013,Round Knob,Pennsylvania (Bituminous),Huntingdon,Temporarily closed,Surface,Independent Producer Operator,Mine only,Ferlitch Construction Inc,"62 Woodland Terrace, Duncansville, PA 16635", ,Appalachia Northern,2918,1,480,7.978653729082731
70,1143,1143,1143,4609292,2013,Buck Lilly Surface Mine,West Virginia (Southern),Greenbrier,Temporarily closed,Surface,Independent Producer Operator,Mine only,"West Virginia Mine Power, Inc.","P.O. Box O, Rupert, WV 25984", ,Appalachia Central,3100,7,4007,8.039157390473237
71,636,636,636,3610069,2013,Glr #1,Pennsylvania (Bituminous),Cambria,Active,Surface,Independent Producer Operator,Mine only,Glr Mining Inc,"P.O. Box 105, Clymer, PA 15728", ,Appalachia Northern,3153,2,1200,8.056109659545061
